date,CCSI
2008/07,73.7 
2008/08,92.3 
2008/09,91.0 
2008/10,78.2 
2008/11,73.2 
2008/12,68.0 
2009/01,75.3 
2009/02,77.0 
2009/03,73.3 
2009/04,93.9 
2009/05,105.2 
2009/06,107.8 
2009/07,110.2 
2009/08,118.4 
2009/09,117.9 
2009/10,123.1 
2009/11,118.2 
2009/12,116.6 
2010/01,117.2 
2010/02,114.7 
2010/03,114.6 
2010/04,114.2 
2010/05,114.3 
2010/06,116.1 
2010/07,116.0 
2010/08,113.6 
2010/09,112.5 
2010/10,112.1 
2010/11,115.4 
2010/12,114.2 
2011/01,112.7 
2011/02,110.3 
2011/03,98.9 
2011/04,101.1 
2011/05,104.9 
2011/06,102.4 
2011/07,102.9 
2011/08,98.1 
2011/09,97.3 
2011/10,100.0 
2011/11,104.8 
2011/12,98.5 
2012/01,97.1 
2012/02,101.6 
2012/03,102.1 
2012/04,106.6 
2012/05,106.9 
2012/06,100.8 
2012/07,99.4 
2012/08,99.8 
2012/09,97.8 
2012/10,99.1 
2012/11,99.3 
2012/12,98.2 
2013/01,101.8 
2013/02,101.1 
2013/03,104.2 
2013/04,101.6 
2013/05,104.2 
2013/06,105.1 
2013/07,104.8 
2013/08,105.0 
2013/09,101.4 
2013/10,106.7 
2013/11,108.3 
2013/12,107.5 
2014/01,110.2 
2014/02,109.2 
2014/03,109.7 
2014/04,109.7 
2014/05,105.3 
2014/06,108.1 
2014/07,105.6 
2014/08,107.5 
2014/09,108.4 
2014/10,105.6 
2014/11,103.4 
2014/12,101.7 
2015/01,103.2 
2015/02,103.9 
2015/03,102.0 
2015/04,104.9 
2015/05,106.3 
2015/06,98.8 
2015/07,100.9 
2015/08,102.2 
2015/09,103.5 
2015/10,106.1 
2015/11,106.7 
2015/12,103.3 
2016/01,100.6 
2016/02,98.3 
2016/03,100.6 
2016/04,102.3 
2016/05,99.8 
2016/06,99.3 
2016/07,101.6 
2016/08,102.6 
2016/09,102.5 
2016/10,102.8 
2016/11,95.9 
2016/12,94.2 
2017/01,93.2 
2017/02,94.4 
2017/03,97.0 
2017/04,101.8 
2017/05,109.2 
2017/06,112.6 
2017/07,112.7 
2017/08,111.3 
2017/09,108.9 
2017/10,110.5 
2017/11,113.9 
2017/12,112.3 
2018/01,111.6 
2018/02,109.8 
2018/03,109.7 
2018/04,108.7 
2018/05,109.6 
2018/06,106.9 
2018/07,102.1 
2018/08,100.1 
2018/09,101.0 
2018/10,100.2 
2018/11,96.6 
2018/12,97.8 
2019/01,98.5 
2019/02,100.6 
2019/03,100.8 
2019/04,102.8 
2019/05,98.9 
2019/06,98.6 
2019/07,96.9 
2019/08,93.3 
2019/09,98.0 
2019/10,99.7 
2019/11,102.0 
2019/12,101.6 
2020/01,105.4 
2020/02,97.9 
2020/03,79.3 
2020/04,71.5 
2020/05,78.4 
2020/06,82.7 
2020/07,85.1 
2020/08,89.1 
2020/09,80.3 
2020/10,92.6 
2020/11,99.0 
2020/12,90.8 
2021/01,95.2 
2021/02,97.4 
2021/03,100.6 
2021/04,102.5 
2021/05,105.7 
2021/06,111.1 
2021/07,103.6 
2021/08,102.9 
2021/09,104.2 
2021/10,107.4 
2021/11,108.3 
2021/12,104.4 
2022/01,105.0 
2022/02,103.6 
2022/03,103.8 
2022/04,104.4 
2022/05,103.2 
2022/06,96.7 
2022/07,85.9 
2022/08,88.7 
2022/09,91.5 
2022/10,88.8 
2022/11,86.4 
2022/12,90.0 
2023/01,90.6 
2023/02,90.0 
2023/03,91.9 
2023/04,95.1 
2023/05,98.1 
2023/06,100.8 
2023/07,103.5 
2023/08,103.4 
2023/09,99.8 
2023/10,98.2 
2023/11,97.2 
2023/12,99.7 
2024/01,101.6 
2024/02,101.9 
2024/03,100.7 
2024/04,100.7 
2024/05,98.4 
2024/06,100.9 
2024/07,103.7 
2024/08,100.8 
2024/09,100.0 
2024/10,101.8 
2024/11,100.7 
2024/12,88.2 
2025/01,91.2 
2025/02,95.2 
2025/03,93.4 
2025/04,93.8 
2025/05,101.8 